id,PDF,Link,title,author,issued,type,title-short,container-title,editor,publisher,publisher-place,page,chapter,volume,number,issue,doi
codd1970,codd-relationalmodel.pdf (https://dl.airtable.com/TDtCRuWkTH2qugXnME4s_codd-relationalmodel.pdf),,A Relational Model of Data for Large Shared Data Banks,codd-e,1970 ,article-journal,,Commun. ACM,,ACM,,377-387,,13,6,0001-0782,
cohen2004,cohen-Generics_and_Mental_Representation.pdf (https://dl.airtable.com/XgaMyys4R1KrVmuTY2j1_cohen-Generics_and_Mental_Representation.pdf),,Generics and mental representations,cohen-a,2004,article-journal,,Linguistics and Philosophy,,Springer Netherlands,,529-556,,27,,5,
davidson1967,davidson1967.pdf (https://dl.airtable.com/kjoaD2BiTdiKIExTT2eB_davidson1967.pdf),,Truth and Meaning,davidson-d,1967 ,article-journal,,Synthese,,Springer,,304-323,,17,1,,
davidson1973,,,Radical interpretation,davidson-d,1973 ,article-journal,,Dialectica,,Wiley-Blackwell,,314-328,,27,,1,
dekker1993,dekker1993.pdf (https://dl.airtable.com/wTKDwaeTt2RvAHrvXUOF_dekker1993.pdf),,Existential disclosure,dekker-p,1993,article-journal,,Linguistics and Philosophy,,Springer,,561-587,,16,,6,
dekker1996,dekker-The_values_of_variables_in_dynamic_seman.pdf (https://dl.airtable.com/XDrTCVhHTBfTD86gVjGQ_dekker-The_values_of_variables_in_dynamic_seman.pdf),,The values of variables in dynamic semantics,dekker-p,1996,article-journal,,Linguistics and Philosophy,,Springer,,211-257,,19,,3,
dretske1972,dretske1972.pdf (https://dl.airtable.com/m8AvDJUR0u6h1uM9OOqK_dretske1972.pdf),,Contrastive statements,dretske-f,1972,article-journal,,Philosophical Review,,Duke University Press,,411-437,,81,,4,
egan2007,egan2007a.pdf (https://dl.airtable.com/qfYbjQwpSnGKDfHba4U0_egan2007a.pdf),,"Epistemic modals, relativism and assertion",egan-a,2007,article-journal,,Philosophical Studies,,Springer,,1-22,,133,,1,
farkas2010,farkas2009.pdf (https://dl.airtable.com/p6asaiqXRoKpbrbU0iyW_farkas2009.pdf),,On reacting to assertions and polar questions,"farkas-d,bruce-k",2010,article-journal,,Journal of Semantics,,,,81-118,,27,,1,
FodorJerry2008-FODLT,,,Lot 2: The language of thought revisited,fodor-j,2008 ,book,,,,Oxford University Press,,,,,,,
geurts1998a,geurts1998a.pdf (https://dl.airtable.com/wqfFODfTQved3KEjY3Hu_geurts1998a.pdf),,The mechanisms of denial,geurts-b,1998,manuscript,,,,,,,,,,,
geurts2003,geurts2003.pdf (https://dl.airtable.com/Fumwd40SQoexQ3yx05V7_geurts2003.pdf),,Layered DRT,"maier-e,geurts-b",2003,manuscript,,,,,,,,,,,
gillies2004,gillies2004a.pdf (https://dl.airtable.com/kXvp2ZfbTDineSMOYSFj_gillies2004a.pdf),,New Foundations for Epistemic Change,gillies-a,2004,article-journal,,Synthese,,Springer,,1-48,,138,1,,
gillies2007,gillies2007.pdf (https://dl.airtable.com/Hy9PJY6ZTzKCgCAq3PXX_gillies2007.pdf),,Counterfactual scorekeeping,gillies-a,2007,article-journal,,Linguistics and Philosophy,,Springer,,329-360,,30,,3,
gillies2010,gillies2010.pdf (https://dl.airtable.com/GQQSK9CxQ4Wky3q4cbv7_gillies2010.pdf),,Iffiness,gillies-a,2010,article-journal,,Semantics and Pragmatics,,,,1-42,,3,4,,10.3765/sp.3.4
glanzberg2007,glanzberg2007.pdf (https://dl.airtable.com/NcNr0hg9Teiw3OdGvg1Z_glanzberg2007.pdf),,"Context, content, and relativism",glanzberg-m,2007,article-journal,,Philosophical Studies,,Springer,,1-29,,136,,1,
goldman1976,goldman - discrimination.pdf (https://dl.airtable.com/2A0etfcyRRuPiYUMcKbM_goldman%20-%20discrimination.pdf),,Discrimination and perceptual knowledge,goldman-a,1976,article-journal,,Journal of Philosophy,,Journal of Philosophy Inc,,771-791,,73,,November,
